MF,Cruise,Blk.Av,Blk.sd,Blk.max,Blk.LD
Betonicine,KM1906,68562.66666666667,37900.707406047026,169295,88059.51407507909
Betonicine,KinExp,1067846.8,439788.5189273525,2006175,1266905.0465154657
Betonicine,RC078,371156.28571428574,229933.80698046007,799677,479373.95297689596
Betonicine,TN397,81010.73333333334,58179.45602120915,243294,107344.07311003313
Dimethylsulfonioacetate,KM1906,1055,3654.6272039703313,12660,2935.01
Dimethylsulfonioacetate,KinExp,740.5333333333333,2868.0732673114658,11108,2038.6882666666666
Dimethylsulfonioacetate,RC078,5471.714285714285,9555.846912743016,29203,9969.14541685519
Dimethylsulfonioacetate,TN397,39606.666666666664,84534.78407281877,260821,77869.02496592568
Dimethylsulfoniopropionate,KM1906,0,0,0,20000
Dimethylsulfoniopropionate,KinExp,122149.73333333334,147052.53728148932,454958,188709.04299493632
Dimethylsulfoniopropionate,RC078,2486.4285714285716,6381.924615834771,19659,5490.062546097463
Dimethylsulfoniopropionate,TN397,3561.733333333333,11502.592605064967,44601,8768.067322975798
Glycine betaine,KM1906,1254019097.3333333,1851648041.3349009,6706788864,2206542197.4755845
Glycine betaine,KinExp,115666581.33333333,90463646.38092655,409360896,156612477.0240687
Glycine betaine,RC078,105278040.71428572,68500327.12045549,258447056,137517517.392595
Glycine betaine,TN397,51153026.733333334,46158262.97225633,159176000,72045302.21125427
Gonyol,KM1906,257890.33333333334,518761.73507678724,1749094,524751.272939481
Gonyol,KinExp,912396.0666666667,1675320.6871104864,6635128,1670684.1619099765
Gonyol,RC078,434741.5,980924.1623708932,3183708,896410.5603584403
Gonyol,TN397,803753.4666666667,860016.3303679485,3027120,1193016.3403661689
Homarine,KM1906,95656.66666666667,36613.452841403756,151280,114491.32575353267
Homarine,KinExp,1527668.4,1118047.382516872,4454500,2033721.9732670593
Homarine,RC078,6381256.642857143,5328803.562076556,15623741,8889242.303433008
Homarine,TN397,337179.2,483074.22380434605,1874895,555829.5371253244
Proline betaine,KM1906,104326.83333333333,101740.33513788765,303216,156664.00393579155
Proline betaine,KinExp,4145683.3333333335,1666227.516438628,7079115,4899855.653536356
Proline betaine,RC078,401022.5,280224.76290889457,1122959,532909.4571615263
Proline betaine,TN397,203937.73333333334,141095.16191233016,621028,267800.59994610096
Trigonelline,KM1906,662260.6666666666,328519.8483463597,1564236,831257.5480499897
Trigonelline,KinExp,6163287.733333333,3229623.93882345,14811561,7625088.691063117
Trigonelline,RC078,1113884.357142857,1077087.1520462106,4450498,1620812.2446234252
Trigonelline,TN397,2164780,2920612.490136126,9430245,3486715.375792973
Trimethylamine N-oxide,KM1906,202956.33333333334,130893.25528448628,495592,270290.322584015
Trimethylamine N-oxide,KinExp,3566412.6,1712517.7387066598,7839448,4341536.923447582
Trimethylamine N-oxide,RC078,1451746.2142857143,864215.0028616168,2869040,1858486.4533623538
Trimethylamine N-oxide,TN397,137575.46666666667,136854.0087569162,403537,199518.69128336917
beta-Alaninebetaine,KM1906,104916,50907.55701000857,180485,131103.81914347157
beta-Alaninebetaine,KinExp,906150.1333333333,596664.4996493742,2455731,1176214.0025491905
beta-Alaninebetaine,RC078,666717,1091483.7666802295,4383480,1180420.611644978
beta-Alaninebetaine,TN397,165950.66666666666,150776.5293172395,613412,234195.53948594825
