Name,Cruise,EE.adjust.lod,EE.adjust.Blk.Av
Betonicine,KM1906,0.0023213180319297546,0.0018073658039360419
Betonicine,KinExp,0.005101907470057217,0.00430028720840697
Betonicine,RC078,0.002819196497626842,0.0021827687847035208
Betonicine,TN397,0.0024083755151662954,0.0018175597494393039
Dimethylsulfonioacetate,KM1906,1.664494712290494e-4,5.983086672503573e-5
Dimethylsulfonioacetate,KinExp,1.7049523245485652e-5,6.193070557749967e-6
Dimethylsulfonioacetate,RC078,9.714791799177568e-5,5.332108505552159e-5
Dimethylsulfonioacetate,TN397,0.0038746535936913366,0.001970772247389608
Dimethylsulfoniopropionate,KM1906,0.0011817333697833193,0
Dimethylsulfoniopropionate,KinExp,0.002040741894387886,0.0013209545989183499
Dimethylsulfoniopropionate,RC078,7.67221351143474e-5,3.4747164938024025e-5
Dimethylsulfoniopropionate,TN397,4.139029896990334e-4,1.6813421029676095e-4
Gonyol,KM1906,0.3675885205683523,0.18065230326713688
Gonyol,KinExp,0.15091015918734016,0.08241523969746535
Gonyol,RC078,0.14523334798998752,0.07043531875610913
Gonyol,TN397,0.6857050117650281,0.46197001807007076
Proline betaine,KM1906,0.0048675333817088445,0.003241423244015273
Proline betaine,KinExp,0.021532450439569237,0.018218234826718218
Proline betaine,RC078,0.00397424717005692,0.002990681652082367
Proline betaine,TN397,0.006168159892660447,0.004697228264611522
Trigonelline,KM1906,0.03750271575316794,0.02987831339969967
Trigonelline,KinExp,0.057968182811837514,0.046855138939768816
Trigonelline,RC078,0.020541787210744233,0.014117104259118765
Trigonelline,TN397,0.11136948675484219,0.06914543102971714
Trimethylamine N-oxide,KM1906,0.04353807507211862,0.032691988349978676
Trimethylamine N-oxide,KinExp,0.14002951975341033,0.11502909048714002
Trimethylamine N-oxide,RC078,0.08253280201165863,0.06447003294430625
Trimethylamine N-oxide,TN397,0.028633848564684674,0.019744090407821952
beta-Alaninebetaine,KM1906,0.00757121399327363,0.0060588737422593315
beta-Alaninebetaine,KinExp,0.009717213751208697,0.007486099057826864
beta-Alaninebetaine,RC078,0.012340713656467123,0.006970196475502888
beta-Alaninebetaine,TN397,0.010778520742097316,0.00763764633074434
Glycine betaine,KM1906,100.39448066983137,67.34535081082083
Glycine betaine,KinExp,0.7966169306128368,0.5974058849575069
Glycine betaine,RC078,1.1908189529907092,0.9589824369670059
Glycine betaine,TN397,3.1249165164316652,2.19954815912967
Homarine,KM1906,0.006737955942175884,0.004146242577390409
Homarine,KinExp,0.007896459863383248,0.006074551681109223
Homarine,RC078,0.07748715419191793,0.05448251527377802
Homarine,TN397,0.010508231104019727,0.006652189831941252
