SampID,cruise,exp,treatment,rep,Area,Fragment_mz,slope,std.error.slope,intercept,std.error.intercept,std_error,nM_in_vial
230607_Smp_TN397_UKH5_10nM_Blk,TN397,UKH5,10,Blk,8187516,97.0954,1786072.5934285717,87593.91691870436,4208164.699999969,10035143.867440892,0.049042752932319376,4.584089151876588
230607_Smp_TN397_UKH5_200nM_Blk,TN397,UKH5,200,Blk,89468568,97.0954,1786072.5934285717,87593.91691870436,4208164.699999969,10035143.867440892,0.049042752932319376,50.09234693437337
230607_Smp_TN397_UKH5_10nM_Blk,TN397,UKH5,10,Blk,13809895,78.0399,2873232.1874285717,122437.49056318015,6487897.599999956,14026976.710155357,0.04261315569931605,4.806397151063279
230607_Smp_TN397_UKH5_200nM_Blk,TN397,UKH5,200,Blk,146496672,78.0399,2873232.1874285717,122437.49056318015,6487897.599999956,14026976.710155357,0.04261315569931605,50.98671546315534
230808_Smp_TN397_UKH2_0nM_Blk,TN397,UKH2,0,Blk,293832,97.0954,1076685.7205714288,70197.50880466419,31565448.199999943,8042134.942367566,0.06519777077326548,0.27290414870929536
230808_Smp_TN397_UKH2_5nM_Blk,TN397,UKH2,5,Blk,1193712,97.0954,1076685.7205714288,70197.50880466419,31565448.199999943,8042134.942367566,0.06519777077326548,1.1086912152661057
230808_Smp_TN397_UKH2_50nM_Blk,TN397,UKH2,50,Blk,8201684,97.0954,1076685.7205714288,70197.50880466419,31565448.199999943,8042134.942367566,0.06519777077326548,7.617528349542079
230808_Smp_TN397_UKH2_1000nM_Blk,TN397,UKH2,1000,Blk,173022544,97.0954,1076685.7205714288,70197.50880466419,31565448.199999943,8042134.942367566,0.06519777077326548,160.6992093367523
230808_Smp_TN397_UKH2_0nM_Blk,TN397,UKH2,0,Blk,721438,78.0399,1950008.358857143,116336.87956412965,56600005.59999996,13328063.91793963,0.05965968250121355,0.36996661923173446
230808_Smp_TN397_UKH2_5nM_Blk,TN397,UKH2,5,Blk,1604881,78.0399,1950008.358857143,116336.87956412965,56600005.59999996,13328063.91793963,0.05965968250121355,0.8230123695165007
230808_Smp_TN397_UKH2_50nM_Blk,TN397,UKH2,50,Blk,14768423,78.0399,1950008.358857143,116336.87956412965,56600005.59999996,13328063.91793963,0.05965968250121355,7.573517791818825
230808_Smp_TN397_UKH2_1000nM_Blk,TN397,UKH2,1000,Blk,309155072,78.0399,1950008.358857143,116336.87956412965,56600005.59999996,13328063.91793963,0.05965968250121355,158.54038296594226
230921_Smp_RC078_UKH2_10nM_Blk,RC078,UKH2,10,Blk,2584532,97.0954,1013119.1245714285,74730.21828073659,23410781.600000013,8561422.049301201,0.07376251861038464,2.5510642700514743
230921_Smp_RC078_UKH2_200nM_Blk,RC078,UKH2,200,Blk,57395616,97.0954,1013119.1245714285,74730.21828073659,23410781.600000013,8561422.049301201,0.07376251861038464,56.65238628703174
230921_Smp_RC078_UKH2_2000nM_Blk,RC078,UKH2,2000,Blk,380775296,97.0954,1013119.1245714285,74730.21828073659,23410781.600000013,8561422.049301201,0.07376251861038464,375.84454459990206
230921_Smp_RC104_UKH1_250nM_Blk,RC104,UKH1,250,Blk,110307712,97.0954,956313.5302857145,23879.38793335874,70106711.59999996,2735727.5688457876,0.024970250003912814,115.34680678108124
230921_Smp_RC078_UKH2_10nM_Blk,RC078,UKH2,10,Blk,5459707,78.0399,1996492.0891428576,107926.52282501558,37254887.19999994,12364536.508475324,0.054058076869891857,2.7346499541322924
230921_Smp_RC078_UKH2_200nM_Blk,RC078,UKH2,200,Blk,121463392,78.0399,1996492.0891428576,107926.52282501558,37254887.19999994,12364536.508475324,0.054058076869891857,60.838403848696025
230921_Smp_RC078_UKH2_2000nM_Blk,RC078,UKH2,2000,Blk,810065856,78.0399,1996492.0891428576,107926.52282501558,37254887.19999994,12364536.508475324,0.054058076869891857,405.74458591908615
230921_Smp_RC104_UKH1_250nM_Blk,RC104,UKH1,250,Blk,244090288,78.0399,2044154.7840000007,55767.759402957374,148502278.3999999,6388999.470053434,0.027281573704429105,119.40890675722916
230921_Smp_RC104_UKG1_250nM_Blk,RC104,UKG1,250,Blk,287080980,62.8977,2931043.38057143,186588.1229606959,54376663.19999987,21376354.931177918,0.06365928399337409,97.94497819545451
230921_Smp_RC104_UKG1_500nM_Blk,RC104,UKG1,500,Blk,632359880,62.8977,2931043.38057143,186588.1229606959,54376663.19999987,21376354.931177918,0.06365928399337409,215.7456570556511
230921_Smp_RC104_UKG1_1000nM_Blk,RC104,UKG1,1000,Blk,1017412000,62.8977,2931043.38057143,186588.1229606959,54376663.19999987,21376354.931177918,0.06365928399337409,347.11598154567315
230921_Smp_RC104_UKG1_3000nM_Blk,RC104,UKG1,3000,Blk,2429608960,62.8977,2931043.38057143,186588.1229606959,54376663.19999987,21376354.931177918,0.06365928399337409,828.922893500924
230921_Smp_RC104_UKG1_250nM_Blk,RC104,UKG1,250,Blk,1778400,45.1882,17498.051142857144,1164.4270580135399,477178.3999999995,133401.8783650445,0.06654609982031451,101.63417545650266
230921_Smp_RC104_UKG1_500nM_Blk,RC104,UKG1,500,Blk,3821520,45.1882,17498.051142857144,1164.4270580135399,477178.3999999995,133401.8783650445,0.06654609982031451,218.39689281968853
230921_Smp_RC104_UKG1_1000nM_Blk,RC104,UKG1,1000,Blk,5578290,45.1882,17498.051142857144,1164.4270580135399,477178.3999999995,133401.8783650445,0.06654609982031451,318.794930615865
230921_Smp_RC104_UKG1_3000nM_Blk,RC104,UKG1,3000,Blk,14366930,45.1882,17498.051142857144,1164.4270580135399,477178.3999999995,133401.8783650445,0.06654609982031451,821.058864367573
230921_Smp_RC104_UKH1_2000nM_Blk,RC104,UKH1,2000,Blk,435193088,97.0954,956313.5302857145,23879.38793335874,70106711.59999996,2735727.5688457876,0.024970250003912814,455.0736491932503
230921_Smp_RC104_UKH1_3000nM_Blk,RC104,UKH1,3000,Blk,726665664,97.0954,956313.5302857145,23879.38793335874,70106711.59999996,2735727.5688457876,0.024970250003912814,759.8613226594175
230921_Smp_RC104_UKH1_1000nM_Blk,RC104,UKH1,1000,Blk,335352864,97.0954,956313.5302857145,23879.38793335874,70106711.59999996,2735727.5688457876,0.024970250003912814,350.6725078958234
230921_Smp_RC104_UKH1_2000nM_Blk,RC104,UKH1,2000,Blk,941624320,78.0399,2044154.7840000007,55767.759402957374,148502278.3999999,6388999.470053434,0.027281573704429105,460.64237765666167
230921_Smp_RC104_UKH1_3000nM_Blk,RC104,UKH1,3000,Blk,1596549248,78.0399,2044154.7840000007,55767.759402957374,148502278.3999999,6388999.470053434,0.027281573704429105,781.0314857252998
230921_Smp_RC104_UKH1_1000nM_Blk,RC104,UKH1,1000,Blk,734141696,78.0399,2044154.7840000007,55767.759402957374,148502278.3999999,6388999.470053434,0.027281573704429105,359.14193080987343
