Cruise,exp,Compound,mean_ks,sd_ks,Mean.Diss.Conc.nM,SD.Diss.Conc.nM,Rel.Abun,Rel.Abun.SD,kt_s_ratio,kt_s_ratio_error,kt_s_ratio_error_fig_max,kt_s_ratio_error_fig_min
KM1906,UKG1,GBT,71.77496562872082,21.693499742517485,6.963428090644706,0.4648804613486325,0.23610767192374865,0.054696187823663825,10.307418227690144,3.1904402541421617,13.497858481832306,7.116977973547982
RC078,UKG1,GBT,64.46596672127036,22.333839335806143,55.98668335355126,9.190571956899431,0.42190317184877724,0.13725781222841346,1.1514517892437588,0.4414292536026776,1.5928810428464364,0.7100225356410812
RC078,UKH1,Homarine,86.47374203486504,33.552236281036265,13.394020063413016,2.3638953145655623,0.20976031654863175,0.06390826445553341,6.456145475776607,2.751985498042047,9.208130973818655,3.7041599777345597
RC078,UKH2,Homarine,491.4583221385085,165.35125529576712,12.361363970511507,0.374719644005147,0.08215981959891182,0.011718660374123944,39.75761277727123,13.430641119147822,53.18825389641905,26.326971658123405
RC104,UKG1,GBT,54.42187958123002,23.274079703875245,10.49989606849078,1.0002203487606312,0.38250610368319377,0.04756374530749133,5.183087454031575,2.2709249269499043,7.454012380981479,2.9121625270816702
RC104,UKH1,Homarine,182.8418952210808,18.610620561260937,4.10233899264348,1.3976235970254403,0.17300629484227995,0.06839202242488096,44.57015754889151,15.84778111940433,60.41793866829584,28.722376429487177
TN397,UKH1,Homarine,37.725673501253006,6.0506962159950755,0.060072573288124057,0.025040213590537146,0.006324809309423656,0.003613094625757982,628.0016226425099,280.48088125959805,908.482503902108,347.52074138291187
TN397,UKH2,Homarine,34.50063297106213,9.439627788009176,0.18678744063245006,0.07213310051456506,0.01385707186491193,0.008254089345619673,184.70531452353137,87.41734592398676,272.1226604475181,97.28796859954461
TN397,UKH3,Homarine,226.64422271114177,100.17459408793592,0.3875104054779306,0.11371992632312483,0.015039936110846122,0.006416953544943011,584.8726111795972,310.3001812786004,895.1727924581976,274.57242990099684
TN397,UKH4,Homarine,309.8383538534872,41.46180730444745,0.8880441435266463,0.08374415392284061,0.03004827761346576,0.0068988568863761375,348.8997209339631,57.117306321322815,406.01702725528594,291.7824146126403
TN397,UKH5,Homarine,260.06349114299917,61.40649065011535,0.30047782703013076,0.03635968978384228,0.017002169941290064,0.007103833415725691,865.4997731893242,229.63603650435243,1095.1358096936765,635.8637366849717
TN412,UKG,GBT,5.4485521611172505,1.930699644859201,0.47182269919617914,0.1499356858849096,0.104447071042862,0.04109850675310717,11.547880528850515,5.496458130698274,17.04433865954879,6.051422398152241
