Cruise,exp,Mean.Diss.Conc.nM,SD.Diss.Conc.nM,mean_ks,sd_ks,mean_vmax,sd_vamx,mm_tt,mm_tt_sd,mm_flux_nM_hr,mm_flux_sd_nM_hr,mm_flux_nM_day,mm_flux_sd_nM_day
KM1906,UKG1,6.963428090644706,0.4648804613486325,71.77496562872082,21.693499742517485,0.35646694819840496,0.02676137520716322,220.88553824502335,71.88151540183426,0.031525052051711654,0.010040816704494415,0.7566012492410796,0.24097960090786597
RC078,UKG1,55.98668335355126,9.190571956899431,64.46596672127036,22.333839335806143,3.6618350563154474,0.17997749624887624,32.894067652523255,13.812911024975175,1.702029798958494,0.6578435598372456,40.84871517500386,15.788245436093895
RC078,UKH1,13.394020063413016,2.3638953145655623,86.47374203486504,33.552236281036265,0.16692686818542318,0.015728939500793206,598.2725440421278,281.7114673038282,0.0223878234038931,0.009773375124172116,0.5373077616934344,0.23456100298013077
RC078,UKH2,12.361363970511507,0.374719644005147,491.4583221385085,165.35125529576712,0.48603360785993416,0.07605556809370598,1036.594338254509,387.197120760882,0.011924977316899538,0.004439621513174043,0.2861994556055889,0.10655091631617702
RC104,UKG1,10.49989606849078,1.0002203487606312,54.42187958123002,23.274079703875245,0.4482755330145257,0.03216112257055171,144.8256058347425,65.76255179537162,0.07250027374628762,0.03218841158178485,1.7400065699109029,0.7725218779628364
RC104,UKH1,4.10233899264348,1.3976235970254403,182.84189522108082,18.610620561260934,0.29742389741270014,0.008718263661011746,628.5447667116129,310.0695335286798,0.00652672523884954,0.0023285758409870953,0.15664140573238894,0.05588582018369029
TN397,UKH1,0.060072573288124057,0.025040213590537146,37.725673501253006,6.0506962159950755,0.07398930306610202,0.004388654725435833,510.69201234107254,313.45889122848274,1.1762974911775941e-4,5.2997605099226e-5,0.0028231139788262257,0.001271942522381424
TN397,UKH2,0.18678744063245006,0.07213310051456506,34.50063297106213,9.439627788009176,0.05154939029743645,0.004610439298935397,672.8968123880911,415.415615930695,2.7758704929742035e-4,1.337016307340741e-4,0.006662089183138088,0.003208839137617779
TN397,UKH3,0.3875104054779306,0.11371992632312483,226.64422271114177,100.17459408793593,0.16611867060363228,0.0261789522153905,1366.6840234854105,856.1506378624588,2.835405981330456e-4,1.5692666412921283e-4,0.006804974355193094,0.003766239939101108
TN397,UKH4,0.8880441435266463,0.08374415392284061,309.8383538534872,41.46180730444745,0.26203703653376154,0.01425956789489438,1185.8109911000272,233.13817503056893,7.488918134439324e-4,1.2919479215418194e-4,0.017973403522654377,0.0031006750117003666
TN397,UKH5,0.30047782703013076,0.03635968978384228,260.06349114299917,61.40649065011535,0.6711830001021921,0.07823457201426627,387.91800288503606,121.82414173227181,7.745910857330868e-4,2.2447437711414322e-4,0.018590186057594084,0.005387385050739438
TN412,UKG,0.47182269919617914,0.1499356858849096,5.4485521611172505,1.9306996448592013,0.2766717294751329,0.022502597774552446,21.398553699522633,12.36954107976999,0.02204927986355941,0.010646940364840403,0.5291827167254258,0.2555265687561697
