Cruise,exp,Compound,wh_mean_tt,wh_sd_tt,wh_mean_vmax,wh_sd_vmax,wh_mean_kt_sn,wh_sd_kt_sn,Mean.Diss.Conc.nM,SD.Diss.Conc.nM,wh_flux_nM_day,wh_flux_sd_nM_day,wh_rel_flux_error,mean.part.conc.nM,sd.part.conc.nM,pp.uM.C.perday,C,flux_nM_C_day,flux_sd_C,Flux_Perc_of_Diss,Flux_Perc_of_Diss_Error,Flux_Perc_of_Part,Flux_Perc_of_Part_Error,flux_Perc_of_PP,flux_Perc_of_PP_Error
KM1906,UKG1,GBT,199.81517602813253,25.611138547855553,0.3683210903558149,0.02282193400992851,73.82908612674092,12.0967635440252,6.963428090644706,0.4648804613486325,0.8363842902099855,0.12087285711190315,0.1445183255194289,0.46059760893884527,0.04460653697654161,675.0630600000001,5,4.181921451049927,0.6043642855595157,12.011099695761333,1.9120856779824682,181.5867633652945,31.590087330115164,0.6194860449111119,0.0895270858932076
RC078,UKG1,GBT,39.34146766531733,12.817486267827473,3.772062369388026,0.3324158008441061,152.3937819255271,57.79345679378453,55.98668335355126,9.190571956899433,34.1543028317114,12.460169327513023,0.3648198995279762,8.902973221982252,1.5898872440065828,16691.209498229677,5,170.77151415855698,62.300846637565115,61.004333148348536,24.40485039912107,383.62805301246226,155.82296526100208,1.0231224656108329,0.3732554351089593
RC078,UKH1,Homarine,609.2878192437688,134.69587312379957,0.16959400121708007,0.01854317370230672,105.12262825613888,31.55480602559779,13.394020063413016,2.3638953145655623,0.527593809311493,0.14924537679888167,0.2828793176964037,1.133121883872534,0.13452720458180364,16691.209498229677,7,3.6931566651804513,1.0447176375921716,3.939025078457688,1.3133505050213516,46.56108198249594,14.2841454539602,0.02212635738334097,0.006259088879706277
RC078,UKH2,Homarine,875.9307116070514,106.25216897651684,0.41827739946755865,0.06160468441049768,370.31057082615706,88.27725868028783,12.361363970511508,0.374719644005147,0.338694295520221,0.04234776785702957,0.12503242132255307,2.414706888883376,0.2314454804711998,16691.209498229677,7,2.370860068641547,0.296434374999207,2.739942746837556,0.3525065088145314,14.026310898414762,2.2097560278281954,0.014204243670256538,0.001775990979147723
RC104,UKG1,GBT,183.05487670753084,54.28993460581349,0.4449496023668568,0.04846719399761697,83.44036020848209,31.209506855940074,10.49989606849078,1.0002203487606312,1.3766227383627612,0.4288187802640008,0.3115005791448728,0.7751267172839882,0.0949513606153766,16691.209498229677,5,6.883113691813806,2.1440939013200038,13.110822520366453,4.270730101126195,177.59970178635953,59.44639954328596,0.04123795637783979,0.012845647294448094
RC104,UKH1,Homarine,426.93244214222665,30.358467429783506,0.2472038617122125,0.01144112235709507,105.79545941141228,11.55364256622285,4.10233899264348,1.3976235970254405,0.2306129169510248,0.0802604841160785,0.348031173523222,0.4101057760297335,0.07737921027191175,16691.209498229677,7,1.6142904186571736,0.5618233888125495,5.62149830534657,2.7378197084994604,56.232545462686886,22.261715238817324,0.009671500551403363,0.0033659836866354012
TN397,UKH1,Homarine,358.2206393018734,69.87366551525243,0.06636221334416241,0.00496435177334905,24.04753148403708,6.132776811185863,0.06007257328812405,0.02504021359053714,0.00402473113141875,0.00185223786923158,0.4602140636854562,0.01352855342802466,0.00277754401531501,398.2639242941506,7,0.02817311791993125,0.01296566508462106,6.699781466186022,4.160054458293729,29.749900111873323,14.991974483724658,0.007073981900284569,0.003255545956767315
TN397,UKH2,Homarine,712.2504846593796,172.16463935409757,0.04695641554353165,0.00549331022897741,34.139102801467075,11.130697596113151,0.1867874406324501,0.07213310051456506,0.00629399161072198,0.00286747254923563,0.4555888737364727,0.0290234968588833,0.01134841672225576,456.09312328373954,7,0.04405794127505386,0.02007230784464941,3.369601076716365,2.012456709289764,21.685848680895806,13.019610041037561,0.009659856513040436,0.004400923149232016
TN397,UKH3,Homarine,1124.5553972906553,176.25381151170075,0.14761576811953372,0.01843092432968926,168.2352439718241,42.55439013831827,0.3875104054779306,0.11371992632312485,0.00827015703617362,0.00275143277937853,0.3326941395845062,0.20898716573855344,0.01569694369712382,1633.7351390314232,7,0.05789109925321534,0.01926002945564971,2.1341767651306647,0.9467807148079443,3.9572559429413614,1.3496902536011441,0.0035434813067396396,0.0011788954644795253
TN397,UKH4,Homarine,763.1434667430717,33.21947126943431,0.23990833418376353,0.00908610370291129,183.2897801061364,13.64739256584703,0.8880441435266463,0.08374415392284061,0.02792798519995061,0.00290070414077668,0.10386370946593788,0.29304780949805515,0.03473980135121807,1868.4886604156327,7,0.19549589639965428,0.02030492898543676,3.1448870423312028,0.4411873929444586,9.530180501190868,1.5020529022484863,0.010462782062384449,0.0010867033563329235
TN397,UKH5,Homarine,266.7854496187426,15.86993463890368,0.6006041343358458,0.05614233106326258,160.67468149617451,21.361583256042668,0.30047782703013076,0.03635968978384228,0.02703096386639111,0.0036447787962686,0.13483717466695036,0.25819844967688943,0.02077344364153229,1319.6741127389294,7,0.18921674706473776,0.0255134515738802,8.995992860292,1.6298289298716497,10.469065131962553,1.6438140942593797,0.01433814191232608,0.0019333145454318325
TN412,UKG,GBT,31.848382546683403,28.058139431544117,0.2872939502095213,0.03633208924941264,10.728485653767311,7.927027761252221,0.47182269919617914,0.1499356858849096,0.3555516442353058,0.33299250905986993,0.9365517343508442,0.31934116145038266,0.04864660841135635,1110.9512320243734,5,1.7777582211765288,1.6649625452993497,75.35704510212022,74.52781672685413,111.3391216529878,105.64521472752597,0.16002126555430346,0.1498681937878999
