cruise_exp,cruise,exp,Compound,wh_mean_tt,wh_sd_tt,wh_mean_vmax,wh_sd_vmax,wh_mean_kt_sn,wh_sd_kt_sn,Mean.Diss.Conc.nM,SD.Diss.Conc.nM,wh_flux_nM_day,wh_flux_sd_nM_day,wh_rel_flux_error
KM1906_UKG1,KM1906,UKG1,GBT,199.81517602813253,25.611138547855553,0.3683210903558149,0.02282193400992851,73.82908612674092,12.096763544025201,6.963428090644706,0.4648804613486325,0.8363842902099855,0.12087285711190317,0.1445183255194289
RC078_UKG1,RC078,UKG1,GBT,39.34146766531733,12.817486267827473,3.772062369388026,0.3324158008441061,152.3937819255271,57.79345679378453,55.98668335355126,9.190571956899431,34.1543028317114,12.460169327513025,0.3648198995279762
RC078_UKH1,RC078,UKH1,Homarine,609.2878192437688,134.69587312379957,0.16959400121708007,0.018543173702306723,105.12262825613887,31.55480602559779,13.394020063413016,2.3638953145655623,0.527593809311493,0.14924537679888167,0.2828793176964037
RC078_UKH2,RC078,UKH2,Homarine,875.9307116070514,106.25216897651684,0.41827739946755865,0.06160468441049768,370.31057082615706,88.27725868028783,12.361363970511507,0.374719644005147,0.338694295520221,0.042347767857029574,0.12503242132255307
RC104_UKG1,RC104,UKG1,GBT,183.05487670753084,54.28993460581349,0.4449496023668568,0.048467193997616974,83.44036020848209,31.209506855940074,10.49989606849078,1.0002203487606312,1.3766227383627612,0.4288187802640008,0.3115005791448728
RC104_UKH1,RC104,UKH1,Homarine,426.93244214222665,30.358467429783502,0.2472038617122125,0.011441122357095079,105.79545941141227,11.55364256622285,4.10233899264348,1.3976235970254403,0.23061291695102482,0.0802604841160785,0.348031173523222
TN397_UKH1,TN397,UKH1,Homarine,358.2206393018734,69.87366551525243,0.06636221334416241,0.004964351773349059,24.04753148403708,6.132776811185863,0.060072573288124057,0.025040213590537146,0.004024731131418751,0.0018522378692315872,0.4602140636854562
TN397_UKH2,TN397,UKH2,Homarine,712.2504846593796,172.16463935409755,0.04695641554353165,0.005493310228977418,34.139102801467075,11.130697596113153,0.18678744063245006,0.07213310051456506,0.006293991610721983,0.002867472549235636,0.4555888737364727
TN397_UKH3,TN397,UKH3,Homarine,1124.5553972906553,176.25381151170077,0.14761576811953372,0.01843092432968926,168.2352439718241,42.55439013831827,0.3875104054779306,0.11371992632312483,0.00827015703617362,0.0027514327793785325,0.3326941395845062
TN397_UKH4,TN397,UKH4,Homarine,763.1434667430717,33.21947126943431,0.23990833418376353,0.009086103702911295,183.28978010613642,13.64739256584703,0.8880441435266463,0.08374415392284061,0.027927985199950614,0.0029007041407766833,0.10386370946593787
TN397_UKH5,TN397,UKH5,Homarine,266.7854496187426,15.869934638903679,0.6006041343358458,0.05614233106326258,160.67468149617451,21.361583256042668,0.30047782703013076,0.03635968978384228,0.027030963866391117,0.0036447787962686027,0.13483717466695036
TN412_UKG,TN412,UKG,GBT,31.848382546683403,28.058139431544117,0.2872939502095213,0.03633208924941264,10.728485653767311,7.927027761252221,0.47182269919617914,0.1499356858849096,0.3555516442353058,0.33299250905986993,0.9365517343508442
